,country,income_group,population_2020,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,totalcount,avg,vulnper1k,exposureperperson
84,Greece,High,10423000.0,46.0,48.0,43.0,46.0,50.0,56.0,36.0,41.0,49.0,46.0,44.0,55.0,45.0,36.0,121028,7.906544766500315,11.611628130096902,0.09180785762256549
85,Greenland,High,57000.0,,,,,,,,,,,,,,,2362,7.496062658763758,41.43859649122807,0.31062631578947364
86,Grenada,Upper middle,113000.0,,,,,,,,,,,,,,,1128,7.378014184397163,9.982300884955752,0.07364955752212389
87,Guadeloupe,,400000.0,,,,,,,,,,,,,,,98370,7.168259160309222,245.925,1.7641265000000002
88,Guam,High,169000.0,,,,,,,,,,,,,,,917,7.6865866957470015,5.42603550295858,0.04170769230769231
89,Guatemala,Upper middle,17916000.0,,,,,,,,,,,,,,48.3,31331,7.528292433864117,1.7487720473319937,0.013167788568876971
90,Guernsey,,173863.0,,,,,,,,,,,,,,,1157,7.464075993091538,6.654664879819168,0.04971385516182282
91,Guinea,Low,13133000.0,,,,,,,,,,,,,,33.7,1071,8.061064425770311,0.0815502931546486,0.0006573821670600779
92,Guinea-Bissau,Low,1968000.0,,,,,,,,,,,,,,50.7,587,7.462180579216355,0.29827235772357724,0.002225762195121951
93,Guyana,Upper middle,787000.0,,,,,,,,,,,,,,44.6,6774998,7.921903067167935,8608.637865311308,68.20284434561626
94,Haiti,Low,11403000.0,,,,,,,,,,,,,,41.1,1434,7.785564853556485,0.1257563799000263,0.0009790844514601421
95,Heard Island and McDonald Islands,,,,,,,,,,,,,,,,,20224,7.1704558939873415,,
96,Holy See,,1000.0,,,,,,,,,,,,,,,43017,7.054909023307695,43017.0,303.5939
97,Honduras,Lower middle,9905000.0,,,,,,,,,,,,,,50.5,26987,7.799392367543532,2.724583543664816,0.021252458354366472
98,Hong Kong,High,7497000.0,5.0,7.0,2.0,10.0,7.0,5.0,17.0,7.0,12.0,2.0,4.0,14.0,19.0,,2986994,7.096533732657629,398.4252367613712,2.827487354941982
99,Hungary,High,9660000.0,47.0,44.0,39.0,60.0,44.0,45.0,44.0,39.0,46.0,24.0,62.0,59.0,41.0,30.4,1266700,7.5824483787453,131.12836438923395,0.9944467391304344
100,Iceland,High,341000.0,23.0,27.0,21.0,22.0,33.0,15.0,46.0,15.0,35.0,16.0,25.0,19.0,27.0,27.8,1158535,7.112077652842463,3397.4633431085044,24.165296480938423
101,India,Lower middle,1380004000.0,48.0,39.0,50.0,56.0,41.0,51.0,29.0,53.0,7.0,62.0,55.0,52.0,55.0,35.7,2169200,7.562065568450137,1.5718795017985454,0.011886732574688186
102,Indonesia,Upper middle,273524000.0,56.0,63.0,54.0,48.0,43.0,63.0,51.0,51.0,41.0,55.0,58.0,24.0,60.0,38.1,897423,7.6334411973800655,3.280966204062532,0.025045146312572215
103,Iran,Upper middle,83993000.0,,,,,,,,,,,,,,40.0,1807388,7.174977453404163,21.51831700260736,0.15448646553879491
104,Iraq,Upper middle,40223000.0,,,,,,,,,,,,,,29.5,38654,7.635921250064675,0.9609924669964945,0.007338062799890609
105,Ireland,High,4938000.0,20.0,24.0,30.0,14.0,19.0,35.0,25.0,14.0,45.0,30.0,12.0,9.0,25.0,31.8,1381786,7.58882772815203,279.8270554880518,2.1235608545970046
106,Isle of Man,High,85000.0,,,,,,,,,,,,,,,159692,7.398530074623127,1878.729411764706,13.90366588235294
107,Israel,High,8656000.0,19.0,9.0,32.0,23.0,28.0,1.0,3.0,32.0,26.0,36.0,26.0,29.0,14.0,38.9,113346,7.593523370917368,13.094500924214417,0.09943339879852126
108,Italy,High,60462000.0,42.0,42.0,46.0,38.0,42.0,58.0,22.0,48.0,54.0,43.0,42.0,23.0,39.0,35.4,2895906,7.602255790707589,47.896298501538155,0.36416127981211327
109,Jamaica,Upper middle,2961000.0,,,,,,,,,,,,,,45.5,4399,7.617981359399864,1.48564674096589,0.011317629179331308
110,Japan,High,126476000.0,27.0,22.0,26.0,26.0,46.0,15.0,11.0,44.0,33.0,5.0,19.0,56.0,23.0,32.1,4796647,7.75718869868889,37.92535342673709,0.29419412299566694
111,Jersey,,173863.0,,,,,,,,,,,,,,,6294,7.40479593457202,36.20091681381317,0.2681881711462474
112,Jordan,Upper middle,10203000.0,53.0,54.0,44.0,58.0,40.0,33.0,63.0,42.0,38.0,63.0,61.0,37.0,57.0,33.7,4779398,7.521332369385362,468.4306576497109,3.523917818288738
113,Kazakhstan,Upper middle,18777000.0,36.0,34.0,41.0,33.0,49.0,4.0,54.0,23.0,55.0,48.0,33.0,13.0,46.0,27.5,79283,7.619132167311893,4.2223464877243435,0.03217791979549451
